lectureId
the-data-science-landscape
review-and-refresher
practical-one
the-challenges-of-data-science-ii
practical-two
a-data-science-process
review-and-refresher-II
practical-three
introduction-to-statistical-learning
generalised-linear-models
dimensionality-reduction
visualisation-ii
statistical-learning-outlook
